Rendement Quotidien,Volatilité Quotidienne,Volatilité Annuelle,Sharpe Ratio,Sortino Ratio,Ulcer Index
-0.001,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.013,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
0.0,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
0.013,0.01,0.159,0.843,1.206,8.258
0.0,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
-0.012,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
-0.015,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.01,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
-0.007,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
0.0,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.0,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.0,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
-0.014,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
-0.008,0.01,0.159,0.843,1.206,8.258
-0.015,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
-0.007,0.01,0.159,0.843,1.206,8.258
-0.01,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.011,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
0.031,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.017,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
-0.007,0.01,0.159,0.843,1.206,8.258
-0.008,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
-0.016,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
0.011,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
0.014,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
0.016,0.01,0.159,0.843,1.206,8.258
-0.023,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
-0.016,0.01,0.159,0.843,1.206,8.258
-0.01,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
0.024,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
-0.015,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.0,0.01,0.159,0.843,1.206,8.258
-0.008,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
0.016,0.01,0.159,0.843,1.206,8.258
-0.01,0.01,0.159,0.843,1.206,8.258
-0.012,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
-0.008,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.0,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.013,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
0.02,0.01,0.159,0.843,1.206,8.258
0.015,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.01,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
-0.01,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.011,0.01,0.159,0.843,1.206,8.258
-0.011,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.0,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
0.011,0.01,0.159,0.843,1.206,8.258
0.015,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
0.016,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
0.011,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.011,0.01,0.159,0.843,1.206,8.258
-0.008,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
-0.028,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
-0.023,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
0.01,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.015,0.01,0.159,0.843,1.206,8.258
-0.013,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.015,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
0.014,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
-0.013,0.01,0.159,0.843,1.206,8.258
-0.023,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.01,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
-0.009,0.01,0.159,0.843,1.206,8.258
0.01,0.01,0.159,0.843,1.206,8.258
-0.009,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
-0.027,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
-0.015,0.01,0.159,0.843,1.206,8.258
0.014,0.01,0.159,0.843,1.206,8.258
-0.008,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.01,0.01,0.159,0.843,1.206,8.258
-0.016,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
-0.008,0.01,0.159,0.843,1.206,8.258
0.011,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
0.016,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
-0.014,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
0.018,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.016,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
-0.023,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.025,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
-0.01,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.013,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
-0.011,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
0.019,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
-0.012,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
0.01,0.01,0.159,0.843,1.206,8.258
-0.013,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
-0.007,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
0.016,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.01,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
-0.008,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
-0.0,0.01,0.159,0.843,1.206,8.258
-0.011,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
0.014,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
-0.011,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
-0.018,0.01,0.159,0.843,1.206,8.258
0.0,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.002,0.01,0.159,0.843,1.206,8.258
-0.027,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
-0.028,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
-0.007,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
0.018,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
0.014,0.01,0.159,0.843,1.206,8.258
-0.034,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
-0.008,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
-0.01,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
0.01,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
0.013,0.01,0.159,0.843,1.206,8.258
-0.017,0.01,0.159,0.843,1.206,8.258
-0.012,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.003,0.01,0.159,0.843,1.206,8.258
-0.017,0.01,0.159,0.843,1.206,8.258
0.014,0.01,0.159,0.843,1.206,8.258
-0.006,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
-0.008,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
0.011,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.003,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
-0.013,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.013,0.01,0.159,0.843,1.206,8.258
0.012,0.01,0.159,0.843,1.206,8.258
-0.001,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
0.009,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
-0.002,0.01,0.159,0.843,1.206,8.258
0.005,0.01,0.159,0.843,1.206,8.258
-0.014,0.01,0.159,0.843,1.206,8.258
0.011,0.01,0.159,0.843,1.206,8.258
0.001,0.01,0.159,0.843,1.206,8.258
0.019,0.01,0.159,0.843,1.206,8.258
-0.004,0.01,0.159,0.843,1.206,8.258
0.008,0.01,0.159,0.843,1.206,8.258
0.007,0.01,0.159,0.843,1.206,8.258
0.006,0.01,0.159,0.843,1.206,8.258
-0.005,0.01,0.159,0.843,1.206,8.258
0.004,0.01,0.159,0.843,1.206,8.258
